Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Lorelei kecil berusia delapan bulan dan sedang tumbuh gigi.,Ibunya telah mencoba segala cara untuk menenangkannya.,"Dia telah mencoba cincin gigi dingin, obat-obatan, dan teh lembut yang menenangkan.","Dalam upaya terakhirnya, dia memberinya biskuit untuk tumbuh gigi.",Lorelei menjadi tenang setelah mendapatkan biskuit yang sedang tumbuh gigi.,Lorelei memilih untuk mendapatkan bunga.
Teman-teman saya dan saya sedang bermain di luar.,Kami ingin memainkan permainan baru.,Kami memutuskan untuk bermain hoki jalanan karena kami tidak terbiasa dengannya.,Kami keluar dan keluar perlengkapan.,Kami dengan antusias memainkan game tersebut hingga hari sudah gelap.,Kami menyingkirkan persneling dan berpisah.
Micky selalu ingin menjadi lebih kurus.,Dia mencoba diet iseng tetapi tidak berhasil.,Dia mulai mengurangi kalori dan berolahraga lebih banyak.,Setelah 2 bulan Micky mulai melihat hasilnya.,Dia sangat bangga dengan semua kerja kerasnya.,Micky sangat kecewa.
Fred baru saja membeli beberapa furnitur teras baru untuk rumahnya.,Dia membangunnya dan mengatur semuanya di luar dirinya.,Malam itu terjadi badai hujan yang parah.,Keesokan harinya Fred melihat bahwa hujan telah merusak perabotan barunya.,Dia kecewa.,Dia senang.
Saya memutuskan untuk menambahkan pulpen baru ke koleksi saya.,Saya pernah melihat video online tentang pena bagus yang disebut Pelikan M800.,Jadi saya pergi ke toko pena di mal lokal saya.,Toko itu memiliki model pena yang saya inginkan.,Saya membeli pena.,Saya tidak membeli pena.
Saat itu musim panas.,Dan kamar Jeff sangat panas.,Dia melihat tirai gelap diiklankan untuk memblokir panas.,Dan dia pikir itu akan membuat perbedaan yang nyata.,Joe senang saat dia memasang tirai baru.,Joe menyukai bagaimana tirai membiarkan kehangatan dan cahaya masuk.
Ibu memberi tahu anak-anaknya bahwa lima belas menit lagi akan makan siang.,Tapi kemudian dia mendapat telepon penting.,"Saat dia berbicara, anjing itu menyeret lumpur ke seluruh dapur.","Anak-anak mulai mengganggu ibunya, yang masih berbicara di telepon.",Sang ibu merasa sangat frustasi.,Tingkah laku anak-anak itu menenangkan sang ibu.
Ibuku mengajakku berbelanja.,Dia membiarkan saya memilih semua makanan.,Saya memilih banyak permen dan makanan ringan!,"Kemudian, dia pergi ke mesin kasir dan membayar semuanya.",Saya makan banyak permen hari itu.,Aku tidak suka bahan makanan yang dibeli ibuku.
Putriku telah mengemis untuk seekor hewan peliharaan.,Ulang tahunnya sebentar lagi.,Saya mengunjungi toko hewan peliharaan untuk melakukan penelitian.,Para pekerja membantu saya membuat keputusan.,Saya membelikannya seekor anjing.,Mereka membantu saya menyadari bahwa saya harus memotong pendek rambut saya.
Keira menemukan seorang pria yang dia pikir adalah seorang penjaga.,"Dia memiliki pekerjaan yang bagus, rumah yang mengesankan, dan membayar semua tanggal mereka.","Beberapa bulan berpacaran, Keira mulai merencanakan gaun pengantinnya.",Dan kemudian dia memukulnya karena dia membakar makan malam.,Keira tidak bisa tinggal bersama pria yang kasar ini.,Keira sangat bangga dengan pacar barunya.
