Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Rani looks at the watch in the mall,Rani wants to have a watch,The money that Rani brought was not enough to buy a watch,Rani brings home the watch of her dreams,Rani bought a watch by her friend,Rani didn't go to the mall
Ditya must allocate his time well,Ditya has a problem with time management,Ditya often feels overwhelmed doing his job,Ditya takes too many mandates in non-academic fields,Ditya must immediately finish all of his current duties,Ditya doesn't care about the task he has
The cats at Hope High are adorable,There are two adult cats and four kittens,These school students often play with these cats,The six cats were cared for by the school guard,The cats are healthy and clean with good care,The school guard wants to raise cats
"On Sundays, I went to the tourist park",There I rode many rides,"There are so many, not all of them have had time to climb it",I'm still curious about it all,I'll come back to that park again,The tourist park that I visited has very few rides
Visya turns on the air conditioner in her room,Visya can only sleep if the temperature in her room is suitable,Visya will sweat if the temperature in her room is too hot,Visya will feel chills if the temperature is too cold,Visya has to adjust the air conditioner in her room so that the temperature is right,Visya only has a fan in her room
At the end of the month the residents of RT 1 are obliged to take part in community service,Each family sends at least one representative,Community service is carried out starting at 8 am,Each resident cleaned the sewer area of ​​their respective homes,The garbage from the sewer will be transported by the RT cleaners,Usually a lot of rats in the gutter
Prasti has a vacation on the beach with his family,Prasti is playing sea water,Prasti is on the seafront with her brother,The movement of the sea waves at that time was very large,Prasti is carried by the waves to the middle of the sea,Prasti is sleeping in his room
My age will increase tomorrow,I can't wait for the day to change.,I want to bake a cake for Mom and Dad.,This has become a tradition in my family.,"If there is a birthday, that person will give something.","If there is a birthday, that person must leave the house."
Alyssa is a girl who lives simply,Rafash is the son of a well-known actress and actor,Alyssa is Rafash's biological cousin from his paternal side,Alyssa often comes to Rafash's house to do assignments together,The financial fate of Alyssa and Rafash is not the same,Alyssa lives at Rafash's house
The team from the University of Hope was very upset,They had been waiting for two hours at this place,"Supposedly, they were the final presentation of the scientific research competition","However, the committee was not ready and the presentation was suddenly postponed",They were disappointed with the committee's unprofessional attitude,They asked for compensation from the committee
Dyah dreams of becoming a teacher.,"Since he was little, when asked what his dream was, he always answered that he wanted to be a teacher.","From elementary, junior high, to high school, Dyah's ideals have never changed.","After graduating from high school, Dyah applied for the Elementary School Teacher Education major at one of the state universities and was accepted.",Dyah is happy to be able to continue her studies in a field that is in line with her goals.,Dyah felt forced to continue his studies in the education department.
Zeri really hates mosquitoes,The mosquitoes caused Zeri to be hospitalized,Zeri always kills the mosquitoes near him,A mosquito at Zeri's feet,Zeri immediately hit the mosquito,Zeri let the mosquitoes bite him
"This holiday, SMP Harapan is on vacation in Bali",They left by bus and boat,"Every now and then, they stop to rest and eat","After three days, they finally arrived in Bali","Even though the journey was very tiring, they were very happy to finally reach their destination","After taking pictures, they went straight home"
"""Bun, I want to complain"" said Yola, crying.","No answer, just silence.","""It's true, bun, being an adult is difficult"" Yola complained again.","""give me advice bun ..."" for the umpteenth time Yola complained, but still no answer.","Yola wiped her tears, then washed her mother's tombstone with the water she had brought.",The knife stuck into his stomach so that he could no longer breathe.
"That afternoon, Tiara and Naya sat in a coffee shop for a moment to calm their minds.","""Am I having a mental illness huh?"" Said Tiara suddenly.","""Hey? What's wrong with you?"" asked his friend back.","""I don't know, I always feel anxious about people's achievements"" replied Tiara again, getting sluggish.","""That's natural ra, maybe you need time. Avoiding social media now is a good step"" naya smiled, exhaling.","""mba mission, what do you want to drink?"" said one of the servants suddenly."
Yana's pillowcase spills last night's coffee.,He does assignments at his bedside study table while drinking coffee.,"As the night wore on, the sleepy Yana accidentally knocked the coffee cup on the table onto the bed.",The remaining coffee spilled slightly on the white pillowcase.,"Now Yana is soaking her pillowcase in bleach while drying the pillow, which also turns brown.",Now Yana is taking a bath to calm her mind.
Wiharna teaches Japanese at his school,Wiharna is a graduate of Japanese literature,Wiharna teaches Japanese in a fun way,Wiharna's students were happy to be taught by him,Wiharna can teach well,Wiharna teaches biology subjects
The vacant land in the city is not well maintained,The land owner does not care about its existence,Hazel bought the vacant lot,Hazel built a coffee shop,Hazel turned the empty field into a coffee shop,Hazel didn't have the money to buy food
Tania cats love to play outdoors,"After breakfast, the cat will walk out of the house",He will return home at dinner time,Her neighbor said that Tania's cat often played with the complex cat,Usually they play around a stall that sells fried chicken,Cats are mammals
Tania followed tutoring near her home,Tania will soon face the final exam,Tania received a learning module from the tutoring place,Tania studied very hard,Tania studied the learning modules that she got from her tutoring place,Tania didn't know where to learn from
Keara opened the door on the passenger seat.,Keara hurriedly got into the taxi.,Her sister Haris's piano recital was held in an hour.,The journey from his house to the recital took an hour if there were no traffic jams.,Keara hopes that the road will go smoothly so that she can arrive before Haris's piano recital begins.,Keara hoped he could quickly return to Haris's house.
Izumi wants to become a writer,Izumi often practiced writing,"Izumi has written articles, poetry and short stories",Izumi has several books that have been published,Izumi dreams of becoming a famous writer,Izumi doesn't like the world of writing
Bella doesn't realize that the floor of her house has just been mopped.,Bella wanted to take the money to pay for the motorcycle taxi she was driving.,Bella entered the house half running.,Bella also slipped because the floor was slippery.,Bella moaned loudly until the ojek brother in front of the house turned his head in shock.,Bella moaned loudly because she was hit.
Jokowi won the Indonesian presidential election,Jokowi's family is happy too,Do not miss the PDIP party and its coalition,The inauguration will be held later this month,"Therefore, SBY as the incumbent president has left the palace",Jokowi is indeed a great president
Rana met a con artist,Rana lost her cellphone and money,Rana reported it to the police,The police catch the con man who cheated on Rana,Rana got the cellphone and the money back,Rana bought a new cellphone
Indeed sad Anjas life,Since childhood he was abandoned by his parents,He lives with his aunt's house,"Unfortunately, Anjas's cousin didn't really like him",Often Anjas was bullied by his own cousin,Anjas often laughs at his cousins
Elisha just bought a rose tree,He was attracted to that beautiful flower,He bought two trees with different rose colors,One red rose tree,One more yellow rose tree,The only rose tree is transparent
Helen's room was very humid,He rarely cleaned his room,He also never opened his bedroom window,"As a result, there was no air exchange in his room",Helen's room was not good for health,Each room must have a window
Arlen bought new clothes,Arlen's new clothes were too big,Arlen went to the tailor,Arlen asked the tailor to turn his clothes down,Arlen can wear his clothes the right size later,Arlen didn't buy new clothes
The subject after this is Biology,Jio is in no mood to learn these subjects,"Then, he had a naughty idea",He hid all the markers in class,He hopes that class time will be spent looking for markers,Each class is obliged to maintain the cleanliness of each class
Today Juju went to the dentist,He has worn braces for years,He had to wear it because his teeth were not flat,"After wearing braces for a long time, finally he was allowed to remove them",Juju's teeth are now in order,Juju's teeth grew a lot after using the braces
Nina cooks chicken curry for lunch,"After the marinade is cooked, he puts the chicken in the curry soup",The chicken he chooses is the best chicken,"Before serving, he did not forget to taste the taste",The taste of curry is delicious to serve as lunch,It turned out that the curry was so salty that he threw it away and made a new one
Nino was shocked when he cleaned his bookcase,The back of the bookcase has been used up by termites,Some of his books have also been eaten by termites,Nino tries to save the books that are still intact,He took out the bookcase to eradicate termites,Books that are eaten by termites have a high price
Youth is the nation's hope,Day as a youth must be able to contribute to the nation,Hari tried to give the best for his people,Hari wants to make the nation proud,Hari made achievements to make his nation proud,Hari does not care about the fate of his people
Yola is eager to be a successful person,He wants to be a role model for his younger siblings,He also wants his younger siblings to go to school as high as possible,"To achieve this, Yola is always studious",Never once was he lazing,To be a successful person does not require effort
"During the incident, Acha could only remain silent.",Acha is very afraid to see Usam angry.,"This made Acha even more silent, not daring to speak.","But seeing Arta crying, Acha begins to waver.",Acha convinced himself to be honest with his friends in class.,Acha convinces himself to go to Arta's house.
Maharani is very fond of cheese,Maharani always cooks her food in cheese,Maharani wants to make spaghetti,Maharani adds cheese to the spaghetti,Maharani makes spaghetti cheese bolognese,Maharani can't cook spaghetti
The son must immediately arrive at his office,The highway that Putra used to pass was badly jammed,Son tries to pass a shortcut,Putra made it to his office on time,Son is not late to the office,Son stuck in traffic on the highway
Elias used to work as a newspaper locker,Elias threw the newspaper onto the home page,Elias worked from morning until noon,Elias school in the afternoon,Elias can divide his time is work and study,Elias doesn't go to school
Tanaka is an exchange student from Japan,He participated in teaching and learning activities for 1 month at SMA 8 Jakarta,Tanaka doesn't speak Indonesian at all,He communicates in English,Tanaka made new friends from SMA 8,"Tanaka likes Indonesia's neighboring country, namely Malaysia"
Aunt Ranti was very surprised,The walls of his house are full of graffiti,The scribbles were made using a marker,It turned out that his little nephew was scribbling the walls,"Like it or not, he had to repaint the walls of his house",Tante Ranti asked for compensation from her nephew
RW 1 residents have joint savings,The savings are used to buy an empty land,The vacant land was turned into a garden together,The garden is planted with vegetables and fruit,"When it is ready to harvest, residents are allowed to take enough from the garden",Living in the village is very pleasant
Cia likes to watch films about royal princesses,Cian often fantasized about meeting a prince,Cian's father granted Cian's wish,Cian's father pretends to be a prince,Cian is happy that his dream can be fulfilled by his father,Cian's father doesn't know what Cian wants
"""Why are you late? What time is it?"" said someone at the door of the room welcoming Tasya and her friends.",Tasya just sneered and passed the person without answering questions.,She knew that the man standing at the door was just teasing her.,"""Wow, I dare to sneer at you,"" said the man again as he followed Tasya to the desk.","Tasya just smiled with red cheeks, while the man winked at her.",Tasya slammed the chair then left the office.
Ibra was furious to see the behavior of the children in his neighborhood.,They threw stones at the dog tied up in his residential garden.,The dog can't run.,The loud voice of his kaing sounded heartbreaking.,Ibra shouted loudly to shoo the bad boys away and stood in front of the dog to protect him.,Ibra shouted loudly for his friend who did not come out of the house.
Rio's hearing was getting less and less,This is due to his job as security at concerts,He often hears loud voices from the speakers,He is also used to hearing loud music during concerts,"Therefore, he was no longer used to hearing low voices",The quality of the speakers at a concert must be really good
Efani recalls his memories,Efani cried for the umpteenth time,Efani regrets the mistakes he made in the past,Efani wants to forget all of his past,Efani can't be calm if the memory haunts him,Efani is strong when it comes to his memories
Grandpa is 70 years old,All her grandchildren love her,"Even though Grandpa was sick, they always visited him every day",2 months ago grandfather had breathed his last,Grandfather's grandchildren find it difficult to accept this fact,Grandpa's grandchildren still like to visit their grandfather at his house.
Pia is interested in the bracelets that are sold at one of the bazaar stands.,"From a distance, the sparkle of the bracelet has captivated Pia.",Pia walked over to the booth.,"Apart from bracelets, there are also various kinds of jewelry such as necklaces and rings.",The booth keeper immediately promoted his merchandise to Pia.,The booth guard immediately went to see Pia coming.
Nia is the belle of her school,Nia attracts the attention of the opposite sex,Nia is not fixated on the title attached to it,Nia still thinks everyone is equal to him,Nia is humble,Nia thinks everyone is her subordinate
That afternoon the Kemal housing complex was very quiet,The bored Kemal decided to take a nap,Suddenly he heard the sound of his house's fence being opened,A curious Kemal peeked through the window,It turned out that a thief wanted to take his motorbike,Kemal's fence is green and gold
Mona called a chicken porridge seller who passed in front of the house.,Mona was ready with two bowls in her hands.,"Mona ordered one porridge not to be given peanuts, one more should not be given green onions.",Mona also asked for extra chili sauce for both of them.,"While waiting, Mona ran back into the house to get the money.","While waiting, Mona went back into the house to continue sleeping."
Zora gets a challenge from his enemy,Zora had to finish the noodles with chilies,Zora is not allowed to eat spicy food by the doctor,Zora admits that he lost to his enemy,Zora does not eat the noodles with chilies,Zora is more concerned with ego and honor
Okky falls asleep on the train.,Train officials wake him when the train has stopped at the last station.,Okky panicked.,But Okky soon realized that his destination was the last station.,Okky thanks the officers who woke him up before walking out of the train.,Okky thanked the father who sat next to him.
"""hey wait tia, i want to talk"" said toni when he accidentally bumped into tia.",Tia has been avoiding toni for more than a week for no reason.,"""Sorry toni, I'm in a hurry"" Tia replied while still walking away from Toni.","""Can't you give me a little explanation? I can't go on like this tia"" toni tried to grab Tia's hand, but the girl let go.","Tia still unmoved, she boarded the bus which happened to be leaving and left Toni.",Tia is a cheerful girl used to be.
The wrong choice of hair care products can be dangerous,That is what happened to Mira,He bought a bottle of cheap shampoo that the manufacturer did not know,Mira was tempted by the cheap price and unique smell,Now Mira's hair is damaged and falling out,Mira's hair became thick and beautiful
Redy is playing a game on the computer in his room when he hears a sound from downstairs.,He stopped playing and tried to harden his ears.,The voice he had heard was gone.,"Redy resumed playing the game, but the voice appeared again.",Redy immediately came out of his room to the lower floor to check the source of the sound.,Redy immediately came out of his room to the bathroom.
My elder sister is named Tono,He likes singing,I have taken care of him since 1 year ago,The singing is still melodious,Tono is indeed a smart bird,Tono is old
Barnes is a very young soldier,Barnes passes the warrior selection to protect the palace,Barnes devoted his body and soul,Barnes is responsible for the safety of the royal family,Barnes became leader of the soldiers two years later,Barnes is the youngest merchant in the palace area
Kayla planted lots of flowers in her garden,The flowers come in a variety of colors,"When it blooms, he picks some of the flowers",The flowers he picked were made dry flowers,"Then, he sells the results for handicraft materials","After the flowers dry, he replants them"
It didn't take long for us to get to the top.,I won a few steps away from him.,"""Haha! Look who won, you are terrible .."" My sentence stopped after my eyes accidentally saw the city view down there.",I was flabbergasted by the sight.,"""You certainly did not expect the peak view will be like this"" he said, stroking my head.",He took off his shoes and climbed the mango tree.
"""Yes. I'm selfish na, sorry ..."" Zoe grabbed Yona's hand.","""Already. For me everything is left behind there"" Yona pulled her hand from Zoe's grasp ..","""Am I too late?"" There was a look on the face of disappointment from the man.","""No. You're not late, but from the start it seems my destiny is not you zoe."" Yona answered resignedly.","Zoe covered her face with her palms, regretting what she had done so far.",Zoe wears the watch given by Yona.
Emily tries various business ideas,Emily innovates by selling cute plants and pots,Emily tries to attract buyers' attention,Emily gets a lot of profit from the sales,Emily's innovation has succeeded in attracting buyers' attention,Emily doesn't want to start any business
Veni works on financial reports,Veni doesn't like counting numbers,Veni works as an accountant,Veni is in charge of calculating finances in his office,Veni is forced to grapple with numbers,Veni doesn't want to work as an accountant
