Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Rani melihat jam tangan di mall,Rani ingin memiliki jam tangan,Uang yang Rani bawa tidak cukup untuk membeli jam tangan,Rani membawa pulang jam tangan impiannya,Rani dibelikan jam tangan oleh temannya,Rani tidak pergi ke mall
Ditya harus mengalokasikan waktunya dengan baik,Ditya memiliki masalah pada manajemen waktu,Ditya sering merasa keteteran mengerjakan tugasnya,Ditya terlalu banyak mengambil amanah di bidang non-akademis,Ditya harus segera menyelesaikan semua tugasnya saat ini,Ditya tidak peduli dengan tugas yang dimilikinya
Kucing-kucing di SMA Harapan sangat menggemaskan,Terdapat dua ekor kucing dewasa dan empat ekor anak-anaknya,Siswa sekolah ini sering bermain bersama kucing-kucing ini,Enam ekor kucing tersebut dirawat oleh penjaga sekolah,Kucing-kucing itu sehat dan bersih karena dirawat dengan baik,Penjaga sekolah ingin beternak kucing
"Pada hari minggu, aku pergi ke taman wisata",Di sana aku menaiki banyak wahana,"Saking banyaknya, belum semuanya sempat aku naiki",Aku masih penasaran dengan itu semua,Aku akan kembali lagi ke taman itu,Taman wisata yang aku datangi sangat sedikit wahananya
Visya menyalakan pendingin ruangan di kamarnya,Visya hanya dapat tidur jika suhu di kamarnya sesuai,Visya akan berkeringat jika suhu dikamarnya terlalu panas,Visya akan merasa menggigil jika suhu udara terlalu dingin,Visya harus mengatur pendingin ruangan di kamarnya agar suhunya sesuai,Visya hanya memiliki kipas angin di kamarnya
Di akhir bulan warga RT 1 wajib ikut kerja bakti,Setiap keluarga minimal mengirimkan satu orang perwakilan,Kerja bakti dilaksanakan mulai pukul 8 pagi,Masing-masing warga membersihkan selokan daerah rumahnya masing-masing,Sampah-sampah dari selokan akan diangkut oleh petugas kebersihan RT,Biasanya banyak tikus di dalam selokan
Prasti berlibur di pantai bersama keluarganya,Prasti sedang bermain air laut,Prasti berada di pinggir laut bersama kakaknya,Pergerakan ombak laut saat itu sangat besar,Prasti terbawa ombak sampai ke tengah laut,Prasti sedang tidur di kamarnya
Usiaku akan bertambah besok.,Aku tidak sabar hari segera berganti.,Aku ingin membuatkan kue untuk Ayah dan Ibu.,Hal ini sudah menjadi tradisi di dalam keluargaku.,"Apabila ada yang berulang tahun, orang tersebut yang akan memberikan sesuatu.","Apabila ada yang berulang tahun, orang tersebut harus keluar dari rumah."
Alyssa adalah seorang gadis yang hidup sederhana,Rafash adalah seorang anak dari aktris dan aktor ternama,Alyssa adalah sepupu kandung Rafash dari pihak ayahnya,Alyssa sering datang ke rumah Rafash untuk mengerjakan tugas besama,Nasib keuangan hidup Alyssa dan Rafash tidak sama,Alyssa tinggal di rumah Rafash
Tim dari Universitas Harapan sangat kesal,Sudah dua jam mereka menunggu di tempat ini,"Seharusnya, mereka presentasi final lomba penelitian ilmiah","Namun, panitia belum siap dan presentasi ditunda mendadak",Mereka kecewa dengan sikap panitia yang tidak profesional,Mereka meminta ganti rugi pada panitia
